txt_count,latency,outstanding
0,0,0
21,51.769,37
30,88.0936,38
61,147.778,35
50,118.112,29
53,118.08,29
0,0,34
30,136.346,31
64,137.682,26
30,70.4536,43
54,149.723,38
49,120.708,45
61,155.291,33
42,101.918,31
61,126.843,31
58,114.228,26
58,109.925,26
31,70.7157,52
66,173.066,49
61,158.903,36
58,131.041,40
33,91.4884,43
70,182.998,37
53,117.135,34
64,131.456,32
62,123.892,30
52,100.928,23
28,63.1624,49
62,163.99,46
63,157.608,43
63,148.865,36
60,134.203,32
59,125.239,31
61,122.805,27
30,71.1253,55
65,176.963,49
60,158.807,45
63,155.693,38
62,141.292,35
52,121.437,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
