txt_count,latency,outstanding
0,0,1
0,0,109
0,0,214
0,0,319
0,0,421
0,0,523
0,0,626
0,0,728
0,0,829
0,0,930
0,0,1030
0,0,1130
0,0,1229
0,0,1328
0,0,1427
0,0,1522
0,0,1619
0,0,1716
0,0,1810
0,0,1905
0,0,1999
0,0,2000
1984,48835.4,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
16,1250.39,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
